,movieId,title,genres,year
1029,1275,highlander,Action|Adventure|Fantasy,1986
1032,1278,youngfrankenstein,Comedy|Fantasy,1974
1036,1282,fantasia,Animation|Children|Fantasy|Musical,1940
1037,1283,highnoon,Drama|Western,1952
1040,1286,somewhereintime,Drama|Romance,1980
1045,1291,indianajonesandthelastcrusade,Action|Adventure,1989
1047,1293,gandhi,Drama,1982
1057,1304,butchcassidyandthesundancekid,Action|Western,1969
1060,1307,whenharrymetsally...,Comedy|Romance,1989
1075,1330,aprilfool'sday,Horror,1986
1096,1352,albinoalligator,Crime|Thriller,1996
1100,1356,startrek:firstcontact,Action|Adventure|Sci-Fi|Thriller,1996
1101,1357,shine,Drama|Romance,1996
1102,1358,slingblade,Drama,1996
1103,1359,jinglealltheway,Children|Comedy,1996
1110,1370,diehard2,Action|Adventure|Thriller,1990
1111,1371,startrek:themotionpicture,Adventure|Sci-Fi,1979
1112,1372,startrekvi:theundiscoveredcountry,Action|Mystery|Sci-Fi,1991
1113,1373,startrekv:thefinalfrontier,Action|Sci-Fi,1989
1114,1374,startrekii:thewrathofkhan,Action|Adventure|Sci-Fi|Thriller,1982
1115,1375,startrekiii:thesearchforspock,Action|Adventure|Sci-Fi,1984
1116,1376,startrekiv:thevoyagehome,Adventure|Comedy|Sci-Fi,1986
1117,1377,batmanreturns,Action|Crime,1992
1118,1378,youngguns,Action|Comedy|Western,1988
1120,1380,grease,Comedy|Musical|Romance,1978
1125,1387,jaws,Action|Horror,1975
1126,1388,jaws2,Horror|Thriller,1978
1128,1390,myfellowamericans,Comedy,1996
1129,1391,marsattacks!,Action|Comedy|Sci-Fi,1996
1131,1393,jerrymaguire,Drama|Romance,1996
1137,1399,marvin'sroom,Drama,1996
1138,1401,ghostsofmississippi,Drama,1996
1140,1405,beavisandbutt-headdoamerica,Adventure|Animation|Comedy|Crime,1996
1142,1407,scream,Comedy|Horror|Mystery|Thriller,1996
1150,1416,evita,Drama|Musical,1996
1157,1427,turbulence,Action|Thriller,1997
1165,1438,dante'speak,Action|Thriller,1997
1168,1442,prefontaine,Drama,1997
1173,1449,waitingforguffman,Comedy,1996
1181,1459,absolutepower,Mystery|Thriller,1997
1187,1466,donniebrasco,Crime|Drama,1997
1195,1480,smilla'ssenseofsnow,Drama|Thriller,1997
1199,1485,liarliar,Comedy,1997
1200,1487,selena,Drama|Musical,1997
1202,1489,catsdon'tdance,Animation|Children|Musical,1997
1204,1493,loveandothercatastrophes,Romance,1996
1208,1499,anaconda,Action|Adventure|Thriller,1997
1209,1500,grossepointeblank,Comedy|Crime|Romance,1997
1212,1503,8headsinaduffelbag,Comedy,1997
1217,1515,volcano,Action|Drama|Thriller,1997
1219,1517,austinpowers:internationalmanofmystery,Action|Adventure|Comedy,1997
1220,1518,breakdown,Action|Thriller,1997
1222,1525,warriorsofvirtue,Action|Adventure|Children|Fantasy,1997
1239,1552,conair,Action|Adventure|Thriller,1997
1242,1556,speed2:cruisecontrol,Action|Romance|Thriller,1997
1243,1562,batman&robin,Action|Adventure|Fantasy|Thriller,1997
1244,1563,dreamwiththefishes,Drama,1997
1247,1569,mybestfriend'swedding,Comedy|Romance,1997
1251,1573,face/off,Action|Crime|Drama|Thriller,1997
1257,1584,contact,Drama|Sci-Fi,1997
1258,1586,g.i.jane,Action|Drama,1997
1259,1587,conanthebarbarian,Action|Adventure|Fantasy,1982
1260,1588,georgeofthejungle,Children|Comedy,1997
1261,1589,copland,Action|Crime|Drama|Thriller,1997
1262,1590,eventhorizon,Horror|Sci-Fi|Thriller,1997
1263,1591,spawn,Action|Adventure|Sci-Fi|Thriller,1997
1264,1592,airbud,Children|Comedy,1997
1266,1594,inthecompanyofmen,Comedy|Drama,1997
1269,1597,conspiracytheory,Drama|Mystery|Romance|Thriller,1997
1271,1599,steel,Action,1997
1276,1604,moneytalks,Action|Comedy,1997
1279,1608,airforceone,Action|Thriller,1997
1282,1611,myownprivateidaho,Drama|Romance,1991
1285,1614,in&out,Comedy,1997
1288,1617,l.a.confidential,Crime|Film-Noir|Mystery|Thriller,1997
1289,1619,sevenyearsintibet,Adventure|Drama|War,1997
1290,1620,kissthegirls,Crime|Drama|Mystery|Thriller,1997
1291,1621,soulfood,Drama,1997
1300,1633,ulee'sgold,Drama,1997
1303,1639,chasingamy,Comedy|Drama|Romance,1997
1304,1640,howtobeaplayer,Comedy,1997
1308,1644,iknowwhatyoudidlastsummer,Horror|Mystery|Thriller,1997
1309,1645,thedevil'sadvocate,Drama|Mystery|Thriller,1997
1315,1653,gattaca,Drama|Sci-Fi|Thriller,1997
1320,1660,eve'sbayou,Drama,1997
1321,1661,switchback,Crime|Mystery|Thriller,1997
1322,1663,stripes,Comedy|War,1981
1324,1667,madcity,Action|Drama,1997
1330,1673,boogienights,Drama,1997
1331,1674,witness,Drama|Romance|Thriller,1985
1332,1676,starshiptroopers,Action|Sci-Fi,1997
1334,1680,slidingdoors,Drama|Romance,1998
1335,1681,mortalkombat:annihilation,Action|Adventure|Fantasy,1997
1343,1690,alien:resurrection,Action|Horror|Sci-Fi,1997
1345,1693,amistad,Drama|Mystery,1997
1349,1701,deconstructingharry,Comedy|Drama,1997
1350,1702,flubber,Children|Comedy|Fantasy,1997
1352,1704,goodwillhunting,Drama|Romance,1997
1354,1711,midnightinthegardenofgoodandevil,Crime|Drama|Mystery,1997
1357,1717,scream2,Comedy|Horror|Mystery|Thriller,1997
1360,1722,tomorrowneverdies,Action|Adventure|Thriller,1997
1364,1729,jackiebrown,Crime|Drama|Thriller,1997
1365,1730,kundun,Drama,1997
1374,1747,wagthedog,Comedy,1997
1375,1748,darkcity,Adventure|Film-Noir|Sci-Fi|Thriller,1998
1377,1752,hardrain,Action|Crime|Thriller,1998
1378,1753,halfbaked,Comedy,1998
1380,1755,shootingfish,Comedy|Romance,1997
1384,1760,spiceworld,Comedy,1997
1385,1762,deeprising,Action|Horror|Sci-Fi,1998
1391,1779,sphere,Sci-Fi|Thriller,1998
1393,1784,asgoodasitgets,Comedy|Drama|Romance,1997
1398,1794,loveanddeathonlongisland,Comedy|Drama,1997
1406,1805,wildthings,Crime|Drama|Mystery|Thriller,1998
1410,1810,primarycolors,Comedy|Drama,1998
1412,1816,twogirlsandaguy,Comedy|Drama,1997
1415,1822,meetthedeedles,Children|Comedy,1998
1417,1826,barney'sgreatadventure,Adventure|Children,1998
1419,1831,lostinspace,Action|Adventure|Sci-Fi,1998
1420,1833,mercuryrising,Action|Drama|Thriller,1998
1422,1835,cityofangels,Drama|Fantasy|Romance,1998
1426,1840,hegotgame,Drama,1998
1429,1845,zeroeffect,Comedy|Mystery|Thriller,1998
1445,1870,"dancer,texaspop.81",Comedy|Drama,1998
1448,1875,clockwatchers,Comedy,1997
1449,1876,deepimpact,Drama|Sci-Fi|Thriller,1998
1450,1878,woo,Comedy|Romance,1998
1452,1881,questforcamelot,Adventure|Animation|Children|Fantasy|Musical,1998
1454,1883,bulworth,Comedy|Drama|Romance,1998
1455,1884,fearandloathinginlasvegas,Adventure|Comedy|Drama,1998
1457,1886,igotthehookup,Comedy,1998
1459,1888,hopefloats,Comedy|Drama|Romance,1998
1463,1894,sixdayssevennights,Adventure|Comedy|Romance,1998
1464,1895,can'thardlywait,Comedy|Drama|Romance,1998
1470,1903,havplenty,Comedy,1997
1472,1907,mulan,Adventure|Animation|Children|Comedy|Drama|Musical|Romance,1998
1476,1912,outofsight,Comedy|Crime|Drama|Romance|Thriller,1998
1478,1914,smokesignals,Comedy|Drama,1998
1480,1917,armageddon,Action|Romance|Sci-Fi|Thriller,1998
1481,1918,lethalweapon4,Action|Comedy|Crime|Thriller,1998
1483,1920,smallsoldiers,Animation|Children|Fantasy|War,1998
1484,1921,pi,Drama|Sci-Fi|Thriller,1998
1486,1923,there'ssomethingaboutmary,Comedy|Romance,1998
1496,1934,youcan'ttakeitwithyou,Comedy|Romance,1938
1497,1935,howgreenwasmyvalley,Drama|Musical|Romance,1941
1502,1940,gentleman'sagreement,Drama,1947
1504,1942,alltheking'smen,Drama,1949
1506,1944,fromheretoeternity,Drama|Romance|War,1953
1507,1945,onthewaterfront,Crime|Drama,1954
1509,1947,westsidestory,Drama|Musical|Romance,1961
1510,1948,tomjones,Adventure|Comedy|Romance,1963
1513,1951,oliver!,Drama|Musical,1968
1514,1952,midnightcowboy,Drama,1969
1516,1954,rocky,Drama,1976
1518,1956,ordinarypeople,Drama,1980
1519,1957,chariotsoffire,Drama,1981
1521,1959,outofafrica,Drama|Romance,1985
1523,1961,rainman,Drama,1988
1524,1962,drivingmissdaisy,Drama,1989
1527,1965,repoman,Comedy|Sci-Fi,1984
1528,1966,metropolitan,Comedy,1990
1537,1975,fridaythe13thpart2,Horror,1981
1541,1979,fridaythe13thpartvi:jasonlives,Horror,1986
1542,1980,fridaythe13thpartvii:thenewblood,Horror,1988
1543,1981,fridaythe13thpartviii:jasontakesmanhattan,Horror,1989
1546,1984,halloweeniii:seasonofthewitch,Horror,1982
1547,1985,halloween4:thereturnofmichaelmyers,Horror,1988
1548,1986,halloween5:therevengeofmichaelmyers,Horror,1989
1553,1991,child'splay,Horror|Thriller,1988
1554,1992,child'splay2,Horror|Thriller,1990
1558,1996,poltergeistiii,Horror|Thriller,1988
1560,1998,exorcistii:theheretic,Horror,1977
1564,2002,lethalweapon3,Action|Comedy|Crime|Drama,1992
1565,2003,gremlins,Comedy|Horror,1984
1566,2004,gremlins2:thenewbatch,Comedy|Horror,1990
1573,2011,backtothefuturepartii,Adventure|Comedy|Sci-Fi,1989
1574,2012,backtothefuturepartiii,Adventure|Comedy|Sci-Fi|Western,1990
1580,2018,bambi,Animation|Children|Drama,1942
1582,2020,dangerousliaisons,Drama|Romance,1988
1588,2026,disturbingbehavior,Horror|Thriller,1998
1590,2028,savingprivateryan,Action|Drama|War,1998
1613,2052,hocuspocus,Children|Comedy|Fantasy|Horror,1993
1624,2064,roger&me,Documentary,1989
1627,2067,doctorzhivago,Drama|Romance|War,1965
1653,2093,returntooz,Adventure|Children|Fantasy,1985
1660,2100,splash,Comedy|Fantasy|Romance,1984
1675,2115,indianajonesandthetempleofdoom,Action|Adventure|Fantasy,1984
1686,2126,snakeeyes,Action|Crime|Mystery|Thriller,1998
1687,2128,safemen,Comedy,1998
1693,2135,doctordolittle,Adventure|Children|Musical,1967
1712,2154,howstellagothergrooveback,Drama|Romance,1998
1715,2160,rosemary'sbaby,Drama|Horror|Thriller,1968
1722,2167,blade,Action|Horror|Thriller,1998
1724,2169,deadmanoncampus,Comedy,1998
1726,2171,nextstopwonderland,Comedy|Drama|Romance,1998
1728,2174,beetlejuice,Comedy|Fantasy,1988
1730,2177,familyplot,Comedy|Thriller,1976
1731,2178,frenzy,Thriller,1972
1732,2180,torncurtain,Thriller,1966
1739,2188,54,Drama,1998
1740,2189,imarriedastrangeperson!,Animation|Comedy|Fantasy|Sci-Fi,1997
1745,2195,dirtywork,Comedy,1998
1756,2210,sabotage,Thriller,1936
1763,2231,rounders,Drama,1998
1764,2232,cube,Horror|Mystery|Sci-Fi|Thriller,1997
1765,2236,simonbirch,Drama,1998
1766,2237,withoutlimits,Drama,1998
1797,2272,onetruething,Drama,1998
1799,2275,six-stringsamurai,Action|Adventure|Sci-Fi,1998
1801,2278,ronin,Action|Crime|Thriller,1998
1802,2279,urbanlegend,Horror|Thriller,1998
1803,2280,claypigeons,Crime,1998
1813,2291,edwardscissorhands,Drama|Fantasy|Romance,1990
1815,2294,antz,Adventure|Animation|Children|Comedy|Fantasy,1998
1818,2297,whatdreamsmaycome,Adventure|Drama|Fantasy|Romance,1998
1820,2301,historyoftheworld:parti,Comedy|Musical,1981
1821,2302,mycousinvinny,Comedy,1992
1824,2305,slam,Drama,1998
1825,2306,holyman,Comedy,1998
1831,2314,beloved,Drama,1998
1833,2316,practicalmagic,Drama|Fantasy|Mystery|Romance,1998
1834,2318,happiness,Comedy|Drama,1998
1837,2322,soldier,Action|Sci-Fi|War,1998
1840,2325,orgazmo,Comedy,1997
1842,2328,vampires,Horror|Western,1998
1843,2329,americanhistoryx,Crime|Drama,1998
1845,2331,livingoutloud,Comedy|Drama|Romance,1998
1846,2333,godsandmonsters,Drama,1998
1849,2336,elizabeth,Drama,1998
1850,2337,velvetgoldmine,Drama,1998
1851,2338,istillknowwhatyoudidlastsummer,Horror|Mystery|Thriller,1998
1853,2340,meetjoeblack,Romance,1998
1864,2353,enemyofthestate,Action|Thriller,1998
1867,2356,celebrity,Comedy,1998
1871,2361,pinkflamingos,Comedy,1972
1883,2373,redsonja,Action|Adventure|Fantasy,1985
1887,2377,lifeforce,Horror|Sci-Fi,1985
1888,2378,policeacademy,Comedy|Crime,1984
1894,2384,babe:piginthecity,Adventure|Children|Drama,1998
1895,2385,homefries,Comedy|Romance,1998
1897,2387,verybadthings,Comedy|Crime,1998
1900,2390,littlevoice,Comedy,1998
1903,2393,startrek:insurrection,Action|Drama|Romance|Sci-Fi,1998
1905,2395,rushmore,Comedy|Drama,1998
1906,2396,shakespeareinlove,Comedy|Drama|Romance,1998
1911,2401,palerider,Western,1985
1912,2402,rambo:firstbloodpartii,Action|Adventure|Thriller,1985
1914,2404,ramboiii,Action|Adventure|Thriller|War,1988
1924,2414,youngsherlockholmes,Action|Adventure|Children|Fantasy|Mystery|Thriller,1985
1934,2424,you'vegotmail,Comedy|Romance,1998
1940,2431,patchadams,Comedy|Drama,1998
1941,2432,stepmom,Drama,1998
1945,2436,teawithmussolini,Comedy|Drama|War,1999
1953,2445,atfirstsight,Drama,1999
1954,2446,indreams,Horror|Thriller,1999
1955,2447,varsityblues,Comedy|Drama,1999
1958,2450,howardtheduck,Adventure|Comedy|Sci-Fi,1986
1975,2469,peggysuegotmarried,Comedy|Drama,1986
1976,2470,crocodiledundee,Adventure|Comedy,1986
1977,2471,crocodiledundeeii,Action|Adventure|Comedy,1988
1988,2485,she'sallthat,Comedy|Romance,1999
1992,2490,payback,Action|Thriller,1999
1993,2491,simplyirresistible,Comedy|Romance,1999
1994,2492,20dates,Comedy|Romance,1998
1998,2496,blastfromthepast,Comedy|Romance,1999
1999,2497,messageinabottle,Romance,1999
2000,2498,myfavoritemartian,Comedy|Sci-Fi,1999
2002,2500,jawbreaker,Comedy,1999
2004,2502,officespace,Comedy|Crime,1999
2005,2504,200cigarettes,Comedy|Drama,1999
2006,2505,8mm,Drama|Mystery|Thriller,1999
2008,2507,breakfastofchampions,Comedy|Sci-Fi,1999
2010,2513,petsematary,Horror,1989
2023,2526,meteor,Sci-Fi,1979
2025,2528,logan'srun,Action|Adventure|Sci-Fi,1976
2027,2530,beneaththeplanetoftheapes,Action|Sci-Fi,1970
2028,2531,battlefortheplanetoftheapes,Action|Sci-Fi,1973
2029,2532,conquestoftheplanetoftheapes,Action|Sci-Fi,1972
2030,2533,escapefromtheplanetoftheapes,Action|Sci-Fi,1971
2035,2539,analyzethis,Comedy,1999
2037,2541,cruelintentions,Drama,1999
2042,2549,wingcommander,Action|Sci-Fi,1999
2048,2555,babygeniuses,Comedy,1999
2052,2560,ravenous,Horror|Thriller,1999
2057,2566,doug's1stmovie,Animation|Children,1999
2058,2567,edtv,Comedy,1999
2060,2569,amonggiants,Comedy|Drama|Romance,1998
2063,2572,10thingsihateaboutyou,Comedy|Romance,1999
2069,2580,go,Comedy|Crime,1999
2081,2598,pushingtin,Comedy,1999
2082,2599,election,Comedy,1999
2083,2600,existenz,Action|Sci-Fi|Thriller,1999
2084,2605,entrapment,Crime|Thriller,1999
2085,2606,idlehands,Comedy|Horror,1999
2093,2616,dicktracy,Action|Crime,1990
2103,2628,starwars:episodei-thephantommenace,Action|Adventure|Sci-Fi,1999
2113,2639,mommiedearest,Drama,1981
2114,2640,superman,Action|Adventure|Sci-Fi,1978
2115,2641,supermanii,Action|Sci-Fi,1980
2116,2642,supermaniii,Action|Adventure|Sci-Fi,1983
2117,2643,supermaniv:thequestforpeace,Action|Adventure|Sci-Fi,1987
2138,2671,nottinghill,Comedy|Romance,1999
2142,2676,instinct,Drama|Thriller,1999
2144,2678,desertblue,Drama,1998
2146,2682,limbo,Drama,1999
2147,2683,austinpowers:thespywhoshaggedme,Action|Adventure|Comedy,1999
2155,2693,trekkies,Documentary,1997
2156,2694,bigdaddy,Comedy,1999
2159,2699,arachnophobia,Comedy|Horror,1990
2161,2701,wildwildwest,Action|Comedy|Sci-Fi|Western,1999
2162,2702,summerofsam,Drama,1999
2164,2706,americanpie,Comedy|Romance,1999
2165,2707,arlingtonroad,Thriller,1999
2167,2709,muppetsfromspace,Children|Comedy,1999
2169,2712,eyeswideshut,Drama|Mystery|Thriller,1999
2170,2713,lakeplacid,Horror|Thriller,1999
2175,2718,dropdeadgorgeous,Comedy,1999
2177,2720,inspectorgadget,Action|Adventure|Children|Comedy,1999
2179,2722,deepbluesea,Action|Horror|Sci-Fi|Thriller,1999
